"No_roots","mean_all","mean_gt1","mean_gt2","mean_gt25","mean_gt3","mean_gt35","mean_gt4","mean_lt05","mean_lt1","mean_lt15","mean_lt2","maxValue","minValue","cultivar","sheetNames","phenotype","Lines"
21,3.59703333333333,3.90591578947368,4.33113125,4.80149230769231,5.18115454545455,5.38967,6.07851428571429,0.66265,0.66265,0.861333333333333,1.24792,9.6681,0.5877,"L33","1_June 3233_4","B","BL331"
28,1.999175,3.103825,3.59898333333333,3.59898333333333,4.0382875,4.45858,4.98283333333333,0.45962,0.526308333333333,0.578684615384615,0.79931875,6.3359,0.1429,"L33","1_June 3233_4","T","TL332"
25,3.80142,4.21719545454545,4.63741578947368,5.48262857142857,5.9655,5.9655,6.15691818181818,0.3602,0.7524,0.99528,1.1541,8.4219,0.3602,"L33","1_June 3233_4","TB","TBL333"
20,3.915395,4.53162352941176,6.10283636363636,6.10283636363636,6.42185,6.42185,6.42185,0.423433333333333,0.423433333333333,0.57745,1.24185555555556,10.1771,0.1768,"L33","1_June 3233_4","B","BL334"
21,1.99172380952381,3.21663333333333,3.60949,4.14824285714286,4.74418,5.067475,5.067475,0.2962125,0.358511111111111,0.521027272727273,0.521027272727273,6.2603,0.1155,"L33","1_June 3233_4","T","TL335"
30,2.46376333333333,3.35345238095238,5.17695454545455,5.45503,5.45503,5.45503,5.8326,0.2326,0.387822222222222,0.846666666666667,0.892968421052632,7.5866,0.0517,"L33","1_June 3233_4","B","BL336"
26,3.49036923076923,3.91093043478261,4.62977222222222,5.28525714285714,5.714175,5.714175,6.08498,0.266066666666667,0.266066666666667,0.783214285714286,0.9267125,8.6892,0.2316,"L33","1_June 3233_4","B","BL337"
16,2.60684375,3.54330909090909,4.57634285714286,4.95208333333333,5.42532,5.42532,5.818,0.3133,0.54662,0.54662,1.07501111111111,7.0526,0.2331,"L33","1_June 3233_4","TB","TBL338"
18,2.64222777777778,3.73570833333333,4.21008,4.21008,4.3678,5.1787,5.1787,0.36416,0.455266666666667,0.542157142857143,0.6824125,6.6684,0.251,"L34","1_June 3233_4","TB","TBL349"
22,3.23621818181818,4.2296,5.40693636363636,5.72066,6.02796666666667,6.86107142857143,6.86107142857143,0.284333333333333,0.5872,0.680742857142857,1.0655,9.8029,0.1446,"L34","1_June 3233_4","TB","TBL3410"
21,1.87418571428571,3.2785,3.67961111111111,4.30585,4.60336,4.962625,4.962625,0.32944,0.32944,0.520116666666667,0.520116666666667,5.7206,0.0775,"L34","1_June 3233_4","T","TL3411"
24,2.24140416666667,3.29283333333333,3.57108461538462,4.15128888888889,4.4965,4.7229,5.20755,0.432,0.489022222222222,0.58352,0.669963636363636,5.9128,0.1403,"L34","1_June 3233_4","T","TL3412"
24,2.469975,3.392675,3.98523333333333,4.8518875,4.8518875,5.07091428571429,5.5772,0.383925,0.624575,0.7684,0.954716666666667,7.7211,0.1763,"L34","1_June 3233_4","T","TL3413"
19,2.98358421052632,3.65579333333333,4.19768333333333,4.56539,5.86011666666667,6.34134,6.34134,0.33,0.4628,0.7196,0.902271428571429,7.7112,0.2585,"L34","1_June 3233_4","T","TL3414"
15,2.32644666666667,2.84641666666667,3.7396,3.94906666666667,4.1531,4.80353333333333,4.80353333333333,0.246566666666667,0.246566666666667,0.627,1.0899375,5.8636,0.1187,"L34","1_June 3233_4","B","BL3415"
24,4.35880416666667,5.39385789473684,6.1567875,6.41804666666667,6.41804666666667,6.41804666666667,6.81588461538462,0.302275,0.4256,0.6366,0.7628375,10.1933,0.0559,"L33","2_July 3233_4","B","BL3316"
14,3.37494285714286,4.43897,5.1426625,5.56197142857143,6.0326,6.0326,6.0326,0.561,0.714875,0.83868,1.01798333333333,7.2228,0.4588,"L33","2_July 3233_4","B","BL3317"
12,5.49570833333333,5.97637272727273,6.939,6.939,6.939,7.3819375,7.87351428571429,0.2084,0.2084,0.2084,1.16583333333333,11.2412,0.2084,"L33","2_July 3233_4","B","BL3318"
15,2.77206666666667,3.85872,4.87894285714286,5.28233333333333,5.7404,6.3807,7.20583333333333,0.533325,0.59876,0.783885714285714,0.92855,8.9652,0.2559,"L33","2_July 3233_4","TB","TBL3319"
